local_authority,region,population_2024,est_vcse_orgs
Isle of Anglesey,North Wales,69097,350
Gwynedd,North Wales,120813,650
Conwy,North Wales,114891,600
Denbighshire,North Wales,98202,480
Flintshire,North Wales,155867,750
Wrexham,North Wales,138245,650
Powys,Mid Wales,135059,650
Ceredigion,Mid Wales,72599,360
Pembrokeshire,South West Wales,125761,620
Carmarthenshire,South West Wales,190800,900
Swansea,South West Wales,251304,1100
Neath Port Talbot,South West Wales,143249,650
Bridgend,South Wales,147530,700
Vale of Glamorgan,South Wales,135743,650
Cardiff,South Wales,383919,1800
Rhondda Cynon Taf,South Wales,242844,1100
Merthyr Tydfil,South Wales Valleys,58972,280
Caerphilly,South Wales Valleys,176865,800
Blaenau Gwent,South Wales Valleys,67873,320
Torfaen,South East Wales,94119,420
Monmouthshire,South East Wales,94930,450
Newport,South East Wales,167899,700
